gene	chr	starts	ends	strand	ecto	endo	meso	set
Sox17	1	4496413	4490928	0	-4.4827056	6.1718163	-4.5655355	DifEn
Atp6v1h	1	5083173	5162549	1	5.1968584	6.4346504	5.6240134	DifEn
Ppp1r42	1	10009136	9968624	0	-5.1979737	-0.13473624	-5.585658	DifEn
Efhc1	1	20951626	20990838	1	-0.6962124	4.588789	-2.7135284	DifEn
Cfc1	1	34535648	34544311	1	-0.03605486	6.728229	5.1800694	DifEn
Prss40	1	34560943	34543975	0	-1.5062671	4.2292895	2.5786824	DifEn
Creg2	1	39651182	39618406	0	-7.44879	-0.3484631	-9.988477	DifEn
Slc40a1	1	45925594	45908070	0	-1.3938847	3.1778631	-9.209697	DifEn
Dnahc7b	1	46066738	46373550	1	-3.1348023	-0.06305354	-4.8359036	DifEn
Stat4	1	51987148	52107188	1	0.12698263	2.1620688	-2.0234513	DifEn
Mdh1b	1	63730318	63698819	0	-6.6945553	2.8791168	-2.9947765	DifEn
Spag16	1	69826988	70725132	1	-0.97919047	1.7563828	-0.48368835	DifEn
Igfbp5	1	72874884	72857932	0	-1.5745777	1.7716750000000001	-4.3324857	DifEn
Tnp1	1	73015899	73015083	0	-5.8065634	0.52415407	-6.194248	DifEn
Gm216	1	74362108	74369321	1	-3.9847486	1.9488537	-0.7503809	DifEn
Vil1	1	74409376	74435559	1	-2.9083211	0.9169728	-3.222005	DifEn
Stk36	1	74601445	74636894	1	-1.8851286	3.1878085	-0.8500675	DifEn
Cryba2	1	74893143	74889934	0	-7.3183737	0.5598324	-7.7060575	DifEn
Ccdc108	1	74935599	74902071	0	-3.9969575	1.7736	-4.6823225	DifEn
Sgpp2	1	78310346	78420286	1	-0.68826264	1.6927152	-2.996168	DifEn
Ap1s3	1	79671972	79606876	0	0.7066058	3.2337477	0.04462808	DifEn
Ccl20	1	83116766	83119167	1	1.3745236	4.872164	-1.1637205	DifEn
Wdr69	1	83159752	83210574	1	-2.9662023	1.8813062	-8.550284	DifEn
Iqca	1	90153401	90042132	0	-4.2032413	2.2424655	-9.135246	DifEn
Capn10	1	92934376	92947941	1	2.6520746	4.2440724	2.7297063	DifEn
St8sia4	1	95667594	95587684	0	-1.8812754	1.6111935	-9.736566	DifEn
Slco4c1	1	96872171	96818784	0	-8.172409	0.8832949	-8.560093	DifEn
Rnf152	1	105356710	105276917	0	-1.8155379	0.9787241	-2.0007293	DifEn
Gm101	1	119997234	119923341	0	-6.456482	0.7899776	-6.0368114	DifEn
Ysk4	1	127840290	127815271	0	-8.889716	0.00641152	-7.692438	DifEn
Cd55	1	130462744	130439027	0	-3.8343105	3.020275	-1.5351529	DifEn
Dyrk3	1	131138234	131128441	0	3.3144398	4.657648	2.8849182	DifEn
Avpr1b	1	131599239	131612000	1	-7.3362947	2.3771966	-0.750521	DifEn
Slc26a9	1	131744022	131771504	1	-6.9767647	-0.8896806	-9.83838	DifEn
Mybph	1	134193448	134201231	1	-7.9352546	0.68370783	-2.9614828	DifEn
Elf3	1	135258472	135253574	0	2.4134438	5.3782687	0.5034608	DifEn
Nav1_1	1	135688105	135606447	0	-2.238756	0.9557261	-4.318318	DifEn
Mr1	1	155146780	155127878	0	-3.5962422	0.71391004	-8.779786	DifEn
Sec16b	1	157506728	157568425	1	-4.139161	0.29958564	-2.4883711	DifEn
Rabgap1l	1	160792938	160219174	0	-1.6957175	3.4074898	-1.5639325	DifEn
Mettl11b	1	163725232	163702257	0	-7.7981696	-0.11044126	-8.337857	DifEn
F5	1	164151838	164220277	1	-2.998993	1.3121719	-4.6394434	DifEn
4930455F23Rik	1	164275585	164287847	1	2.5357401	4.340694	0.58669174	DifEn
Mgst3	1	167393841	167371966	0	3.1171002	4.462393	1.96451	DifEn
Rgs4	1	169747642	169741477	0	-1.8300774	1.500006	-6.1246524	DifEn
1700009P17Rik	1	171113918	171126967	1	-0.945576	5.895314	-0.448196	DifEn
Fcer1g	1	171234365	171229572	0	-4.006095	-0.58922076	-5.978742	DifEn
Klhdc9	1	171360798	171358446	0	1.2022065	3.5531278	0.8798136	DifEn
Tagln2	1	172500047	172507380	1	5.1118584	7.466687	4.600275	DifEn
Ccdc19	1	172521044	172545870	1	-4.373466	4.3665905	-4.668041	DifEn
Sdccag8	1	176814660	177020437	1	0.29388708	2.2793849	-0.19925766	DifEn
Susd4	1	182763860	182896598	1	2.0400622	3.5509787	0.68501925	DifEn
Tlr5	1	182954788	182976044	1	-4.342679	-0.52736926	-9.130294	DifEn
Tgfb2	1	186705992	186623186	0	0.6859037	2.7343657	-0.15081541	DifEn
Spata17	1	187215465	187044648	0	-1.6531794	2.203607	-1.1783671	DifEn
Irf6	1	193153112	193172042	1	-2.459578	1.004389	-8.09519	DifEn
Lamb3	1	193301957	193343878	1	-6.038967	1.2626748	-3.2567267	DifEn
Meig1	2	3422648	3409043	0	-3.883185	3.57237	-6.4407945	DifEn
Fam107b	2	3613758	3782142	1	1.2892565	4.226963	2.1470306	DifEn
Cubn	2	13491924	13276338	0	-5.951483	-0.72530705	-8.8627300000000009	DifEn
Armc3	2	19199302	19310241	1	-5.828825	2.307661	-3.4091547	DifEn
Enkur	2	21205365	21180731	0	-1.4057093	5.086468	-0.2778047	DifEn
Thnsl1	2	21205724	21215009	1	0.9202108	3.116868	-0.014600143	DifEn
A830007P12Rik	2	25196886	25192966	0	-0.017503519	2.338241	0.26413918	DifEn
Surf4	2	26933928	26920040	0	6.020169	6.8124228	6.1242657	DifEn
1700026L06Rik	2	28699727	28692080	0	-3.4921658	4.760896	-1.7099252	DifEn
Ak8	2	28700164	28813165	1	0.38623446	2.9337337	-0.1947937	DifEn
1700101E01Rik	2	29055064	28955373	0	-1.7847329	2.2980008	-3.3276954	DifEn
Cercam	2	29869164	29882840	1	1.1647615	3.4873455	0.19132523	DifEn
Wdr34	2	30048881	30031546	0	2.7854767	4.3557105	2.883745	DifEn
Ak1	2	32621758	32646805	1	1.6206137	3.216616	1.158562	DifEn
Ttc16	2	32775633	32757026	0	-2.7809951	0.5337811	-2.8885715	DifEn
1700019L03Rik	2	32784428	32777381	0	-1.7898561	1.3040783	-1.9819895	DifEn
Gsn	2	35279663	35307892	1	-0.027413405	3.2652254	0.19693299	DifEn
Ggta1	2	35463231	35400179	0	-0.101282656	2.2472405	0.20031105	DifEn
Morn5	2	36049458	36079718	1	-4.1050534	2.9641826	-2.007311	DifEn
Lypd6b	2	49787688	49948849	1	0.6310972	2.5811644	-7.096437	DifEn
Rbm43	2	51935163	51924448	0	1.3178407	3.0265627	0.5362421	DifEn
Ermn	2	58052864	58045113	0	-3.382624	1.9559993	-9.314629	DifEn
Dpp4	2	62412231	62330073	0	-3.5954018	2.5868316	-6.153012	DifEn
4930578N16Rik	2	69789575	69758033	0	0.81148267	3.4933612	-0.23783393	DifEn
4933404M02Rik	2	70508819	70540884	1	-2.3229752	3.5398557	-0.7623744	DifEn
Ttc30b	2	75938462	75935863	0	2.4106753	4.8702106	0.60158914	DifEn
Cyct	2	76360450	76353942	0	1.3340721	3.9927058	-0.2808459	DifEn
Serping1	2	84775444	84765387	0	-0.13586317	1.9292591	-0.3529939	DifEn
Prg2	2	84980461	84983632	1	-6.810011	-0.656171	-7.1976953	DifEn
Chrm4	2	91922189	91929829	1	-7.3818297	-0.20311506	-5.447586	DifEn
Creb3l1	2	92024502	91982328	0	-2.0263746	1.5774314	-0.8104806	DifEn
Trp53i11	2	93187548	93201759	1	3.0247686	5.4307	3.9496539	DifEn
Cd82	2	93463140	93419111	0	-2.1784227	3.2633264	-0.03941221	DifEn
Cd59a	2	104095801	104115354	1	0.41013673	4.382695	0.061711837	DifEn
Fsip1	2	118256966	118204888	0	-1.208338	2.5974572	-0.5614236	DifEn
Ppp1r14d	2	119229906	119218119	0	-1.511986	0.946111	-7.221599	DifEn
Shf	2	122369162	122348892	0	-2.6583211	0.5203937	-2.376154	DifEn
Ctxn2	2	125136692	125147839	1	-7.104829	0.5478167	-7.4925137	DifEn
Hdc	2	126619299	126593667	0	-5.501113	1.0893714	-10.128263	DifEn
Nphp1	2	127788897	127740732	0	2.20725	4.6103654	2.4364035	DifEn
Il1a	2	129309972	129299610	0	-2.8497136	0.46681023	-5.959864	DifEn
Tgm3	2	130012349	130050399	1	-2.4690204	2.2333639	-2.1886861	DifEn
Spef1	2	131187282	131170261	0	-3.0489147	4.073217	-2.0036395	DifEn
Prnp	2	131909928	131938429	1	1.1347816	4.0295477	1.2291962	DifEn
Bmp2	2	133552159	133562885	1	-5.7428355	3.1458907	1.1042976	DifEn
Ankrd5	2	136501910	136562091	1	-3.8037775	0.9658538	-3.2149208	DifEn
Flrt3	2	140671469	140650914	0	2.98852	6.166638	3.797757	DifEn
Banf2	2	144033059	144073979	1	-6.2565513	0.12861411	-6.644236	DifEn
Ovol2	2	144332146	144305175	0	1.1110092	3.0615358	-3.0945606	DifEn
4930529M08Rik	2	145934784	146215039	1	-3.1201224	-0.13071314	-3.7074788	DifEn
Foxa2	2	148046969	148042877	0	-0.7741685	6.4263105	-3.0219953	DifEn
Cst13	2	148820081	148830410	1	-6.712073	0.64612544	-7.0997577	DifEn
Cst3	2	148875692	148871722	0	6.70275	8.447203	7.358172	DifEn
Mylk2	2	152911352	152923068	1	-8.626193	-0.48811996	-9.013877	DifEn
Ttll9	2	152962485	153008482	1	0.12572418	2.2087321	-1.2094927	DifEn
Map1lc3a	2	155276297	155278073	1	3.8769825	5.1510344	3.987775	DifEn
Myl9	2	156775420	156781658	1	3.0302756	4.685186	2.9665356	DifEn
Lbp	2	158306493	158332852	1	-3.484868	0.44778547	-2.2242637	DifEn
Eya2	2	165595032	165771727	1	-2.5258482	1.1171716	-1.997364	DifEn
Atp9a	2	168742409	168634438	0	-0.5800062	2.9848418	-0.9920917	DifEn
Bmp7	2	172940321	172868012	0	-1.4279693	4.7761073	3.0549848	DifEn
Spo11	2	172977700	172993576	1	-5.7142825	1.6708832	-2.2606647	DifEn
Npepl1	2	174110349	174123070	1	2.138732	3.7805705	1.5551605	DifEn
Slc17a9	2	180725263	180742280	1	-0.98372746	1.6751198	-4.51931	DifEn
Hey1	3	8667039	8663362	0	-0.4599983	3.1452084	0.7570771	DifEn
Car2	3	14886426	14900769	1	5.230676	7.8912783	5.464498	DifEn
Agtr1b	3	20367177	20314473	0	-3.2604206	2.2767482	-6.4029927	DifEn
Pld1	3	27938695	28133362	1	-5.148734	0.14751704	-4.224474	DifEn
Lrrc34	3	30647869	30624267	0	-1.3243406	3.6090357	-0.2598176	DifEn
