gene	chr	starts	ends	ecto	endo	meso
Fam178b	1	36683183	36562694	1.8697562	-0.96585965	-2.1366735
Pgap1	1	54557684	54473000	2.2949076	0.25227016	-1.0817497
Efhd1	1	87264363	87310839	0.39186883	-2.9372113	-3.3006701
Kif1a	1	93101865	93015456	1.6485409	-2.5589955	-2.6832669
Bok	1	93685694	93695762	5.3388205	3.3959858	3.3779006
Slc45a3	1	131962967	131982963	1.6496465	-4.625852	-0.8869494
Nmnat2	1	152955101	153119260	2.7691998	0.692109	0.31678477
Gm11062	1	173277756	173274461	-0.06406533	-2.9077182	-6.9256806
6330403A02Rik	1	180483504	180432387	-0.045605224	-3.976721	-5.368749
Batf3	1	191098414	191108943	0.83445287	-1.6227318	-2.2870572
Zbtb34	2	33431324	33406108	1.2607632	-1.337872	-1.2758174
Kcnj3	2	55435970	55598145	1.230846	-5.2324157	-1.764474
Pdk1	2	71873224	71903858	2.9492035	0.884154	1.1082517
Scg5	2	113829121	113776362	0.42016253	-6.2365594	-6.9505153
Pak6	2	118663303	118698020	-0.08509265	-7.968274	-3.3968284
Chac1	2	119351229	119354381	1.154037	-1.4453255	-1.0004972
Frmd5	2	121807087	121545529	-0.19982338	-2.7976513	-6.2485733
Pcsk2	2	143546156	143816285	1.0712833	-2.8334258	-2.407831
Zfp345	2	150485091	150470991	1.7768307	-0.45945928	-0.271903
Snph	2	151632593	151590549	-0.006584741	-3.502533	-4.230989
5430405G05Rik	2	151702008	151712157	0.11125031	-6.556831	-2.2484198
Dnmt3b	2	153649450	153687730	8.7900715	6.33382	6.000205
R3hdml	2	163492318	163502612	-0.38438708	-5.7163267	-7.582286
Wfdc2	2	164562413	164568510	6.8319473	4.8408012	3.9085052
Hrh3	2	180104488	180099465	-0.3185769	-6.088229	-7.369226
Stmn3	2	181314500	181306459	2.6121352	0.4898508	0.41623378
Fabp5	3	10012548	10016607	6.422424	4.977319	5.360099
Sox2	3	34650005	34652461	3.1399503	-1.1770198	-2.5314786
Sfrp2	3	83766321	83774316	3.888683	-0.3316059	1.9171622
Trim2	3	84305446	84160439	1.911206	-0.62722	-0.8487053
Dclk2	3	86920884	86786150	-0.45816347	-7.603567	-5.510168
Crabp2	3	87948666	87953376	5.2669044	3.6055102	4.138565
Sema4a	3	88461182	88435959	0.012202187	-3.476955	-2.9023416
Syt11	3	88775164	88744700	4.3824115	0.27814826	0.4227195
Trim46	3	89246309	89234177	1.0739484	-1.0538889	-1.5231893
Hmgcs2	3	98280435	98310738	-0.49664712	-7.3048015	-5.0187573
Phgdh	3	98339990	98313170	7.1018624	6.340914	6.3050656
Gstm2	3	107986453	107981702	2.3617797	0.4175998	0.38635588
Slc44a3	3	121532344	121459529	-0.4168169	-6.942294	-8.808253
Ugt8a	3	125938550	125865359	1.8531765	-1.849614	-0.94708127
Bmpr1b	3	142169425	141837136	-0.031401314	-8.162511	-3.162221
Cntfr	4	41697089	41657498	0.9009107	-1.4189801	-1.3338491
