gene	chr	start	end	strand	ecto	endo	meso	set
Sox17	1	4490928	4496413	-	-0.026183276	7.8396297	1.0197136	DifEn
Atp6v1h	1	5083173	5162549	+	6.355938	7.239091	6.4129763	DifEn
Ppp1r42	1	9968624	10009136	-	-5.1759305	3.310541	-8.7078285	DifEn
Efhc1	1	20951626	20990838	+	-1.1535627	5.9540157	-0.18950348	DifEn
Cfc1	1	34535648	34544311	+	0.5655365	6.94302	4.9864807	DifEn
Prss40	1	34543975	34560943	-	-0.13153629	5.40164	3.4088764	DifEn
Creg2	1	39618406	39651182	-	-7.327934	2.2913685	-8.7078285	DifEn
Slc40a1	1	45908070	45925594	-	-0.50350505	5.0215630000000004	-0.648935	DifEn
Dnahc7b	1	46066738	46373550	+	0.75480694	3.8560853	0.8170394	DifEn
Stat4	1	51987148	52107188	+	2.8616166	3.4862738	-0.12956087	DifEn
Mdh1b	1	63698819	63730318	-	-0.87214965	3.7094185	-1.0322636	DifEn
Spag16	1	69826988	70725132	+	2.4552464	4.199867	1.8039237	DifEn
Igfbp5	1	72857932	72874884	-	1.9299781	4.3614135	-0.20709753	DifEn
Tnp1	1	73015083	73015899	-	-7.327934	-2.2321935	-8.7078285	DifEn
Gm216	1	74362108	74369321	+	-1.3179495	3.7121243	0.6462982	DifEn
Vil1	1	74409376	74435559	+	0.28350115	4.4413195	-0.25661767	DifEn
Stk36	1	74601445	74636894	+	0.27528068	6.7199883	1.7694798	DifEn
Cryba2	1	74889934	74893143	-	-7.327934	1.2768203	-8.7078285	DifEn
Ccdc108	1	74902071	74935599	-	-1.4754908	6.3758483	-1.8279052	DifEn
Sgpp2	1	78310346	78420286	+	1.5245092	4.1979375	-0.57854575	DifEn
Ap1s3	1	79606876	79671972	-	1.9168267	5.230702	2.1973913	DifEn
Ccl20	1	83116766	83119167	+	-7.327934	4.658422	-1.08822	DifEn
Wdr69	1	83159752	83210574	+	-2.221734	4.4553843	-3.8009384	DifEn
Iqca	1	90042132	90153401	-	-7.327934	4.51031	-4.5558257	DifEn
Capn10	1	92934376	92947941	+	5.060981	6.382092	5.0335913	DifEn
St8sia4	1	95587684	95667594	-	-0.63677156	3.7353654	-2.016667	DifEn
Slco4c1	1	96818784	96872171	-	-7.1759305	3.2961855	-2.6978445	DifEn
Rnf152	1	105276917	105356710	-	-0.34304047	3.2670393	0.44135383	DifEn
Gm101	1	119923341	119997234	-	-7.1759305	1.8811481	-1.926469	DifEn
Ysk4	1	127815271	127840290	-	-7.327934	3.740676	-6.9708633	DifEn
Cd55	1	130439027	130462744	-	-2.590968	5.468513	1.5913794000000001	DifEn
Dyrk3	1	131128441	131138234	-	4.5646935	5.7342567	4.097915	DifEn
Avpr1b	1	131599239	131612000	+	-7.327934	4.554202	1.5500829	DifEn
Slc26a9	1	131744022	131771504	+	-2.5320742	1.6142615	-3.0639725	DifEn
Mybph	1	134193448	134201231	+	-3.2690396	0.25719142	-1.0012368	DifEn
Elf3	1	135253574	135258472	-	3.6640604	6.3437824	2.4824073	DifEn
Mr1	1	155127878	155146780	-	-0.90914387	1.7986859	-0.5502011	DifEn
Sec16b	1	157506728	157568425	+	-1.8905281	1.4936316	0.29279736	DifEn
Rabgap1l	1	160219174	160792938	-	1.6975137	6.6212363	2.6968398	DifEn
Mettl11b	1	163702257	163725232	-	-7.1759305	-0.6288523	-8.7078285	DifEn
F5	1	164151838	164220277	+	-0.7665395	5.082085	-2.016667	DifEn
4930455F23Rik	1	164275585	164287847	+	3.566379	5.1192555	1.178884	DifEn
Mgst3	1	167371966	167393841	-	3.2576551	4.593377	2.449097	DifEn
Rgs4	1	169741477	169747642	-	0.1816215	3.7686734	-2.327007	DifEn
1700009P17Rik	1	171113918	171126967	+	0.23346052	7.132867	0.7570573	DifEn
Fcer1g	1	171229572	171234365	-	-3.590968	-2.3476706	-4.648935	DifEn
Klhdc9	1	171358446	171360798	-	2.3901236	4.1908417	2.3998241	DifEn
Tagln2	1	172500047	172507380	+	6.0223613	8.726722	5.724148	DifEn
Ccdc19	1	172521044	172545870	+	-2.1759305	6.1856594	-1.5224026	DifEn
Sdccag8	1	176814660	177020437	+	2.7753541	5.001426	2.9244597	DifEn
Susd4	1	182763860	182896598	+	4.320424	5.352769	2.6383157	DifEn
Tlr5	1	182954788	182976044	+	-3.2690396	-0.2321934	-8.7078285	DifEn
Tgfb2	1	186623186	186705992	-	2.8056366	4.607495	2.6819818	DifEn
Spata17	1	187044648	187215465	-	-0.08846757	3.9034173	0.56051826	DifEn
Irf6	1	193153112	193172042	+	0.7782659	4.222185	-0.8009382	DifEn
Lamb3	1	193301957	193343878	+	-1.590968	3.1953614	-0.6549588	DifEn
Meig1	2	3409043	3422648	-	-7.327934	3.7237918	-5.9708633	DifEn
Fam107b	2	3613758	3782142	+	3.799201	6.2061186	4.401095	DifEn
Cubn	2	13276338	13491924	-	-2.783613	5.927096	-0.18078627	DifEn
Armc3	2	19199302	19310241	+	-1.0884675	4.2510023	-1.8009381	DifEn
Enkur	2	21180731	21205365	-	-3.3685756	6.0770206	-1.1895034	DifEn
Thnsl1	2	21205724	21215009	+	3.361288	5.33737	2.4933422	DifEn
A830007P12Rik	2	25192966	25196886	-	1.4052701	3.8803465	2.8714871	DifEn
Surf4	2	26920040	26933928	-	7.8255653	8.484263	8.029987	DifEn
1700026L06Rik	2	28692080	28699727	-	-2.1315362	4.565219	-1.926469	DifEn
Ak8	2	28700164	28813165	+	0.8739181	3.9167721	-0.22043532	DifEn
1700101E01Rik	2	28955373	29055064	-	-0.74966574	3.2645836	-2.8279052	DifEn
Cercam	2	29869164	29882840	+	3.2302744	5.2319593	2.3321564	DifEn
Wdr34	2	30031546	30048881	-	3.9397633	6.0562286	4.48532	DifEn
Ak1	2	32621758	32646805	+	3.6418526	5.305772	3.1784606	DifEn
Ttc16	2	32757026	32775633	-	1.033523	3.6381714	0.16185075	DifEn
1700019L03Rik	2	32777381	32784428	-	-0.8540023	2.4005222	-0.8009382	DifEn
Gsn	2	35279663	35307892	+	1.4858476	6.222185	1.9726285	DifEn
Ggta1	2	35400179	35463231	-	1.9430106	4.7193155	2.5448365	DifEn
Morn5	2	36049458	36079718	+	-4.5909677	3.8803465	-3.4265428	DifEn
Lypd6b	2	49787688	49948849	+	1.4929546	4.2259765	-1.970863	DifEn
Rbm43	2	51924448	51935163	-	3.0955327	4.7295904	1.9107606	DifEn
Ermn	2	58045113	58052864	-	-1.0060054	4.1882524	-5.9708633	DifEn
Dpp4	2	62330073	62412231	-	-0.59096795	6.1820855	-1.0639726	DifEn
4930578N16Rik	2	69758033	69789575	-	1.7840714	4.951537	1.142879	DifEn
4933404M02Rik	2	70508819	70540884	+	-1.3685756	5.9085383	0.7295765	DifEn
Ttc30b	2	75935863	75938462	-	-0.48942995	5.4762273	1.6861575	DifEn
Cyct	2	76353942	76360450	-	1.5035497	2.8189108	0.63152647	DifEn
Serping1	2	84765387	84775444	-	1.0383887	3.2853248	1.4651544	DifEn
Prg2	2	84980461	84983632	+	-7.327934	-1.2887769	-8.7078285	DifEn
Chrm4	2	91922189	91929829	+	-2.6523685	1.6334211	-1.8279052	DifEn
Creb3l1	2	91982328	92024502	-	0.82406956	2.4027572	1.2156638	DifEn
Trp53i11	2	93187548	93201759	+	5.253476	6.867357	6.247801	DifEn
Cd82	2	93419111	93463140	-	0.25033426	4.988836	2.1059525	DifEn
Cd59a	2	104095801	104115354	+	0.7369588	4.993663	0.33595812	DifEn
Fsip1	2	118204888	118256966	-	-1.590968	3.9152071	0.53428674	DifEn
Ppp1r14d	2	119218119	119229906	-	-2.0466473	1.6598238	-4.163508	DifEn
Shf	2	122348892	122369162	-	-0.47549066	0.84872663	0.62656873	DifEn
Ctxn2	2	125136692	125147839	+	-3.3685756	-0.9102652	-8.7078285	DifEn
Hdc	2	126593667	126619299	-	-1.44801	4.7237916	-3.6016293	DifEn
Nphp1	2	127740732	127788897	-	3.7963312	6.4489098	4.1701794	DifEn
Il1a	2	129299610	129309972	-	-3.2690396	-0.04999007	-3.307898	DifEn
Tgm3	2	130012349	130050399	+	-4.854002	4.034593	0.032889027	DifEn
Spef1	2	131170261	131187282	-	-1.783613	5.907161	0.0844193	DifEn
Prnp	2	131909928	131938429	+	2.6442485	5.3742833	2.6228392	DifEn
Bmp2	2	133552159	133562885	+	-1.6840774	5.5970416	3.1139455	DifEn
Ankrd5	2	136501910	136562091	+	-0.46168494	4.360264	0.10595246	DifEn
Flrt3	2	140650914	140671469	-	5.2477107	8.293817	5.7758613	DifEn
Banf2	2	144033059	144073979	+	-7.327934	-0.19116609	-8.7078285	DifEn
Ovol2	2	144305175	144332146	-	1.958496	4.179155	-1.2159756	DifEn
4930529M08Rik	2	145934784	146215039	+	-1.2451931	4.2919717	0.10951027	DifEn
Foxa2	2	148042877	148046969	-	0.10947186	7.65772	-0.57854575	DifEn
Cst13	2	148820081	148830410	+	-7.1759305	-1.2047126	-8.7078285	DifEn
Cst3	2	148871722	148875692	-	6.911698	8.845855	7.656006	DifEn
Mylk2	2	152911352	152923068	+	-7.327934	-0.39347425	-8.7078285	DifEn
Ttll9	2	152962485	153008482	+	0.9430106	4.8634067	0.9677363	DifEn
Map1lc3a	2	155276297	155278073	+	4.075552	5.174584	4.183744	DifEn
Myl9	2	156775420	156781658	+	3.5579324	4.4287624	3.8399763	DifEn
Lbp	2	158306493	158332852	+	-0.07789837	1.594844	-1.2159756	DifEn
Eya2	2	165595032	165771727	+	-1.1986505	3.2584262	-1.4897364	DifEn
Atp9a	2	168634438	168742409	-	3.3288887	5.8941135	2.092532	DifEn
Bmp7	2	172868012	172940321	-	1.7984841	6.817865	5.271815	DifEn
Spo11	2	172977700	172993576	+	-0.48942995	4.0309854	-2.2890391	DifEn
Npepl1	2	174110349	174123070	+	4.199109	5.200509	3.3925414	DifEn
Slc17a9	2	180725263	180742280	+	-0.7665395	2.6372225	-2.3660011	DifEn
Hey1	3	8663362	8667039	-	2.0576892	4.4553843	2.6234615	DifEn
Car2	3	14886426	14900769	+	5.5657473	8.598444	6.3439565	DifEn
Agtr1b	3	20314473	20367177	-	-7.327934	1.8907341	-2.5334578	DifEn
Pld1	3	27938695	28133362	+	-0.74966574	2.015734	-1.08822	DifEn
Lrrc34	3	30624267	30647869	-	-1.0261832	4.426018	0.41571793	DifEn
Lrriq4	3	30644507	30672431	+	-1.2217342	0.90025693	-2.0800922	DifEn
Cldn11	3	31149946	31164324	+	-1.2217342	1.8585298	-0.52791965	DifEn
Kcnmb2	3	31902507	32200180	+	1.6021467	3.6248305	-0.5169067	DifEn
Ccdc39	3	33812362	33844310	-	3.6021466	7.193426	3.2806194	DifEn
Qrfpr	3	36179424	36222275	-	-0.1535626	2.4293106	-6.9708633	DifEn
Anxa5	3	36448925	36475843	-	2.289636	6.25611	4.9841814	DifEn
Cetn4	3	37307749	37312708	-	-2.4754908	3.0054762	0.10595246	DifEn
Intu	3	40531286	40704774	+	3.9339	5.8301644	3.893581	DifEn
Serp1	3	58521969	58525873	-	7.985477	8.202676	7.883616	DifEn
Mlf1	3	67374097	67400003	+	3.3767385	7.398914	3.3465495	DifEn
Zbbx	3	75037907	75165034	-	-7.327934	4.787611	-5.748471	DifEn
Glrb	3	80843599	80913660	-	0.1816215	1.9065708	-1.7876413	DifEn
Fgb	3	83042247	83049803	-	-7.327934	3.6672797	-2.7229357	DifEn
Tlr2	3	83836273	83841767	-	-7.327934	0.28653547	-8.555826	DifEn
Apoa1bp	3	88056523	88058495	-	6.1542864	6.7638993	6.230852	DifEn
Riiad1	3	94464985	94473591	-	0.9168267	6.447828	0.18900816	DifEn
Tuft1	3	94612757	94658872	-	0.86298853	5.124343	2.4085152	DifEn
