gene	chr	start	end	ecto	endo	meso
Myl1	1	66924295	66945404	-5.5909677	-4.125278	2.1068428
Fn1	1	71585523	71653171	5.8834143	7.734756	9.802482
Twist2	1	91801461	91848028	-3.1759303	-7.084636	1.0045072
Cdh20	1	104768529	104995481	-0.9471118	-4.610705	3.7324638
Tnni1	1	135783065	135810989	-3.8540022	-0.11245417	3.6867528
Tnnt2	1	135836386	135852260	-7.327934	-7.084636	0.029136892
Rgs5	1	169655501	169695813	1.6346413	1.828918	4.2065563
Mixl1	1	180693043	180697034	2.9776216	4.7508	6.7172775
Lefty2	1	180893108	180899103	-0.04664738	3.160124	10.103745
Pycr2	1	180904274	180908087	6.765484	6.670761	7.6366405
Itga8	2	12106632	12301920	-2.221734	1.0560516	4.0805726
Gfi1b	2	28609450	28621982	-0.73298687	-0.44078	-0.34637228
St6galnac4	2	32587095	32599698	1.9299781	1.6894186	4.5418773
Crb2	2	37776249	37799103	3.2056124	2.7433238	4.977626
Rbms1	2	60750193	60963192	5.572053	7.1968913	8.369103
Kcnh7	2	62693414	63184287	1.1903919	0.96823376	3.3450413
Actc1	2	114047282	114053548	-0.10984122	2.4532294	4.4663687
Meis2	2	115863064	116065839	5.2326646	4.224082	6.8081717
Adra2b	2	127363208	127367221	0.09085609	3.0869575	4.4741516
Cd93	2	148436640	148443563	-4.854002	0.25719142	2.2841654
Slpi	2	164354070	164389095	-5.1759305	-4.125278	3.053353
Snai1	2	167538195	167542814	3.415592	3.070182	6.676033
Gata5	2	180325133	180334699	-1.0261832	-1.5403156	2.7301545
Fabp4	3	10204347	10208576	-4.854002	-0.33272025	-0.12956087
Car1	3	14766217	14778459	-7.327934	-7.084636	1.1130593
Car3	3	14863538	14872351	2.0114214	3.3847795	6.073816
Pcdh18	3	49743296	49757316	4.720402	4.1607847	6.542865
Lhfp	3	53041528	53261679	3.9712744	4.2694907	7.103083
Tdo2	3	81957090	81975750	-2.7164989	-2.0257425	2.7490962
Gucy1a3	3	82092428	82145877	0.5722624	-2.6107051	2.142879
Efna1	3	89271733	89281142	3.3573992	2.7112231	4.231465
Efna3	3	89313899	89322965	1.2077739	0.29618552	3.3540676
Pitx2	3	129199878	129219591	-0.73298687	0.75386745	1.8995016
Lef1	3	131110471	131224356	5.5406747	4.853228	7.986511
Unc5c	3	141465564	141834924	0.33186427	-5.932633	3.2094605
Wls	3	159839737	159935833	6.54869	7.187524	7.892371
Cdcp2	4	107096891	107107748	-7.327934	-7.084636	0.029136892
Tal1	4	115056426	115071755	-0.700197	-7.084636	1.607824
Fhl3	4	124700701	124708611	1.879352	-0.19116609	3.5875573
Ece1	4	137862237	137965229	4.6878686	3.4149883	5.9876895
Tnfrsf18	4	156026164	156028895	-1.3945707	-1.3780442	-0.12956087
Sod3	5	52363946	52371405	-7.327934	0.044646755	1.0625598
Pdgfra	5	75152291	75198204	2.386312	2.716623	7.132233
Kdr	5	75932827	75978458	1.3939252	-0.11245417	5.6474457
Mn1	5	111417362	111457033	4.841574	3.6229146	7.0637927
Myl2	5	122100951	122113472	-2.3179495	-2.932633	2.7677922
Tmem132c	5	127241808	127565793	-0.66813576	1.2322738	4.4841213
Lfng	5	140607341	140615543	1.2034479	0.3527691	4.4967422
Rasl11a	5	146845071	146847726	5.0108027	2.8405063	6.1058407
Peg10	6	4747306	4760517	4.1363854	6.7832212	7.1765537
Wnt2	6	17988940	18030585	-1.2690399	0.38929498	5.989923
Pax4	6	28442334	28449353	-7.327934	-7.084636	-0.63696235
Cpa2	6	30541582	30564476	0.9430106	1.4072169	5.2406197
Cpa1	6	30639218	30645363	-7.327934	-4.125278	-0.07200987
