gene	chr	start	end	ecto	endo	meso
Jph1	1	16994938	17097889	2.2649388	1.375706	1.4483949
Rab23	1	33719882	33742564	5.395111	4.61667	5.180259
Tbc1d8	1	39371499	39478747	6.153866	6.1926193	6.0115957
D1Bwg0212e	1	39534992	39546881	5.2398114	5.3952003	5.035463
Map4k4	1	39900913	40026310	6.004911	6.1814346	5.785137
Tmem194b	1	52630705	52651919	3.7555459	4.013542	2.937029
Kctd18	1	57955101	58018956	5.3793774	5.130425	5.2150445
Mpp4	1	59120936	59163389	2.285549	1.9802562	1.708617
Akr1cl	1	65012689	65032759	-2.4754908	-4.932633	-2.3463721
1810031K17Rik	1	75134554	75142368	3.6921206	4.4709115	4.053815
Fam134a	1	75142786	75147909	3.9750862	4.199224	3.8712254
Atg9a	1	75180866	75191923	4.0456567	3.7798939	4.151318
Dnajb2	1	75236465	75244804	-0.006005389	2.2247138	1.0588841
Sh3bp4	1	89070415	89155068	5.9413877	5.812411	5.103167
Gpr39	1	125676995	125873862	0.09085609	0.73270273	-0.30789813
R3hdm1	1	128103306	128237735	6.686804	6.0300817	6.5764327
Ptpn7	1	135132725	135145320	-4.3685756	-1.6472309	-1.1211973
Arl8a	1	135146824	135156269	2.260781	2.1811092	2.1201315
Edem3	1	151755374	151822328	4.3637133	4.6161885	4.4018207
Klhl20	1	161088375	161131511	3.6679907	3.8222542	4.108177
Gpr161	1	165301863	165322930	-0.5465739	0.518578	-0.6310131
Adcy10	1	165485183	165576774	-2.0466473	-3.610705	-3.5558255
Cd247	1	165788681	165877276	3.2534764	2.881148	3.0111794
Dusp12	1	170873498	170885540	4.6005025	4.321214	4.7515173
Alyref2	1	171503478	171504750	1.1683655	-0.26020774	1.3689868
Dcaf8	1	172148015	172196393	6.6763067	6.672731	6.7462425
Atp1a2	1	172271709	172298064	0.10019392	1.5791196	2.230444
Pld5	1	175962306	176275312	-1.2217342	-7.084636	-1.3759165
CAAA01083517.1	1	183326725	183369529	6.1509204	6.5540767	6.4740653
Eprs	1	185363095	185428355	9.062847	8.450632	8.915103
Rps6kc1	1	190700202	190911770	3.7999175	3.9323268	3.8688657
Atf3	1	191170296	191183340	-4.854002	-1.099743	-1.855386
Rd3	1	191977373	191988282	-2.9280028	-0.76270807	-3.970863
Otud1	2	19658062	19660590	1.4052701	1.186308	1.4228848
Pnpla7	2	24976033	25054057	2.3298812	2.4831088	2.5356097
Nelf	2	25054355	25062881	4.2690845	4.874722	4.831788
Rexo4	2	26953563	26964386	6.292184	5.965401	6.245883
Slc2a6	2	27021363	27027998	-0.517719	-0.5575937	-1.1721213
Ppp1r26	2	28446800	28455508	2.7912958	2.88275	2.5792422
Nup188	2	30286397	30344266	6.426884	6.2916703	6.3203554
Mrrf	2	36136389	36190647	5.555813	4.948481	5.4776835
Rc3h2	2	37370069	37422903	5.6117682	5.732925	5.5095906
Stam2	2	52691664	52742281	4.830045	5.0450044	5.0256104
Baz2b	2	59899363	60209839	4.969046	5.8696814	5.8613677
Scn2a1	2	65620857	65767447	0.003978659	0.38024983	-0.21597569
Fastkd1	2	69686815	69713516	4.785881	3.4862738	4.805844
Gorasp2	2	70661576	70712636	6.7460966000000004	7.13841	7.15525
Slc25a12	2	71271063	71367749	3.2302744	2.5830667	3.2483056
Dfnb59	2	76648476	76658556	-1.8905281	-2.4732015	-1.0800922
Zc3h15	2	83644435	83664622	7.5199504	7.1884956	7.5306835
Fam171b	2	83812636	83883486	4.448865	4.2913685	3.2308524
Mtch2	2	90847155	90866810	8.806573	8.5941105	8.640345
Celf1	2	90940382	91019497	8.440273	8.095057	8.432759
Trim44	2	102300119	102407828	5.4500065	5.046792	5.790619
Lmo2	2	103957986	103981878	0.96362096	3.808834	3.5989926
Ccdc73	2	104867805	105017904	3.4230525	3.3631358	3.4110403
Eif3m	2	104999656	105017080	9.078766	8.7441225	8.971773
