gene	chr	starts	ends	ecto	endo	meso
Myl1	1	66945404	66924295	-5.4156218	-6.259275	1.1876487
Fn1	1	71653171	71585523	2.2543116	3.6525197	6.046064
Twist2	1	91801461	91848028	-7.47533	-5.997055	0.17163189
Cdh20	1	104768529	104995481	-4.8298445	-7.5910354	1.5334243
Tnni1	1	135783065	135810989	-7.837297	-1.7475871	3.081207
Tnnt2	1	135836386	135852260	-7.208121	-5.8818493	0.15238744
Rgs5	1	169655501	169695813	-3.740983	-5.298332	1.928994
Mixl1	1	180697034	180693043	3.327421	4.247007	6.342046
Lefty2	1	180893108	180899103	2.148461	1.2085928	8.919187
Pycr2	1	180904274	180908087	6.087034	5.942269	7.029958
Itga8	2	12301920	12106632	-5.1905737	-1.2748935	1.1530609
Gfi1b	2	28621982	28609450	-4.7848296	-6.458557	-0.2656232
St6galnac4	2	32587095	32599698	-1.4257085	-0.7330339	2.5152946
Crb2	2	37776249	37799103	0.2945686	0.0836538	2.5585303
Rbms1	2	60963192	60750193	2.9215288	4.5631375	5.7124686
Kcnh7	2	63184287	62693414	-3.946633	-5.041248	-0.72829336
Actc1	2	114053548	114047282	-1.9633412	0.17485835	3.5896108
Meis2	2	116065839	115863064	1.0893365	0.3547459	3.024332
Adra2b	2	127363208	127367221	-0.77336806	0.075948484	2.3895175
Cd93	2	148443563	148436640	-5.4042583	-5.3665557	-0.48144948
Slpi	2	164389095	164354070	-1.4513328	-4.6734977	2.998732
Snai1	2	167538195	167542814	2.0783803	2.1948345	5.8860435
Gata5	2	180334699	180325133	-8.777365	-2.3397317	1.0203773
Fabp4	3	10208576	10204347	-3.262351	-4.936079	0.15731949
Car1	3	14778459	14766217	-7.303776	-5.825501	0.8136899
Car3	3	14863538	14872351	1.0952477	3.4061518	4.951179
Pcdh18	3	49757316	49743296	2.4525409	1.4554262	4.0587068
Lhfp	3	53041528	53261679	2.326289	3.59139	5.947917
Tdo2	3	81975750	81957090	-8.842777	-7.3645015	1.7552228
Gucy1a3	3	82145877	82092428	-2.285657	-3.3309438	0.6385157
Efna1	3	89281142	89271733	1.5572453	0.7158132	3.66669
Efna3	3	89322965	89313899	-0.54526323	-1.0741838	2.0242555
Ntng1_1	3	110144011	110143685	-3.7153857	-3.9740763	-0.47857925
Pitx2	3	129199878	129219591	-5.543052	-7.6762123	-0.82411426
Lef1	3	131110471	131224356	2.2936013	1.7442436	4.3466306
Unc5c	3	141465564	141834924	-3.7238271	-9.191971	-0.32190442
Wls	3	159839737	159935833	4.7935147	4.9885983	6.284557
Cdcp2	4	107096891	107107748	-8.449592	-6.971316	-0.89085674
Tal1	4	115056426	115071755	-3.4889982	-7.7173157	0.1059467
Fhl3	4	124700701	124708611	0.8477317	-0.8281941	2.750003
Ece1	4	137862237	137965229	2.0566044	0.59392506	3.665114
