gene	chr	start	end	strand	ecto	endo	meso	set
Jph1	1	16994938	17097889	-	2.2649388	1.375706	1.4483949	Sim
Rab23	1	33719882	33742564	+	5.395111	4.61667	5.180259	Sim
Tbc1d8	1	39371499	39478747	-	6.153866	6.1926193	6.0115957	Sim
D1Bwg0212e	1	39534992	39546881	+	5.2398114	5.3952003	5.035463	Sim
Map4k4	1	39900913	40026310	+	6.004911	6.1814346	5.785137	Sim
Tmem194b	1	52630705	52651919	+	3.7555459	4.013542	2.937029	Sim
Kctd18	1	57955101	58018956	-	5.3793774	5.130425	5.2150445	Sim
Mpp4	1	59120936	59163389	-	2.285549	1.9802562	1.708617	Sim
Akr1cl	1	65012689	65032759	-	-2.4754908	-4.932633	-2.3463721	Sim
1810031K17Rik	1	75134554	75142368	-	3.6921206	4.4709115	4.053815	Sim
Fam134a	1	75142786	75147909	+	3.9750862	4.199224	3.8712254	Sim
Atg9a	1	75180866	75191923	-	4.0456567	3.7798939	4.151318	Sim
Dnajb2	1	75236465	75244804	+	-0.006005389	2.2247138	1.0588841	Sim
Sh3bp4	1	89070415	89155068	+	5.9413877	5.812411	5.103167	Sim
Gpr39	1	125676995	125873862	+	0.09085609	0.73270273	-0.30789813	Sim
R3hdm1	1	128103306	128237735	+	6.686804	6.0300817	6.5764327	Sim
Ptpn7	1	135132725	135145320	+	-4.3685756	-1.6472309	-1.1211973	Sim
Arl8a	1	135146824	135156269	+	2.260781	2.1811092	2.1201315	Sim
Edem3	1	151755374	151822328	+	4.3637133	4.6161885	4.4018207	Sim
Klhl20	1	161088375	161131511	-	3.6679907	3.8222542	4.108177	Sim
Gpr161	1	165301863	165322930	+	-0.5465739	0.518578	-0.6310131	Sim
Adcy10	1	165485183	165576774	+	-2.0466473	-3.610705	-3.5558255	Sim
Cd247	1	165788681	165877276	+	3.2534764	2.881148	3.0111794	Sim
Dusp12	1	170873498	170885540	-	4.6005025	4.321214	4.7515173	Sim
Alyref2	1	171503478	171504750	+	1.1683655	-0.26020774	1.3689868	Sim
Dcaf8	1	172148015	172196393	+	6.6763067	6.672731	6.7462425	Sim
Atp1a2	1	172271709	172298064	-	0.10019392	1.5791196	2.230444	Sim
Pld5	1	175962306	176275312	-	-1.2217342	-7.084636	-1.3759165	Sim
CAAA01083517.1	1	183326725	183369529	-	6.1509204	6.5540767	6.4740653	Sim
Eprs	1	185363095	185428355	+	9.062847	8.450632	8.915103	Sim
Rps6kc1	1	190700202	190911770	-	3.7999175	3.9323268	3.8688657	Sim
Atf3	1	191170296	191183340	-	-4.854002	-1.099743	-1.855386	Sim
Rd3	1	191977373	191988282	+	-2.9280028	-0.76270807	-3.970863	Sim
Otud1	2	19658062	19660590	+	1.4052701	1.186308	1.4228848	Sim
Pnpla7	2	24976033	25054057	+	2.3298812	2.4831088	2.5356097	Sim
Nelf	2	25054355	25062881	+	4.2690845	4.874722	4.831788	Sim
Rexo4	2	26953563	26964386	-	6.292184	5.965401	6.245883	Sim
Slc2a6	2	27021363	27027998	-	-0.517719	-0.5575937	-1.1721213	Sim
Ppp1r26	2	28446800	28455508	+	2.7912958	2.88275	2.5792422	Sim
Nup188	2	30286397	30344266	+	6.426884	6.2916703	6.3203554	Sim
Mrrf	2	36136389	36190647	+	5.555813	4.948481	5.4776835	Sim
