gene	chr	start	end	strand	ecto	endo	meso	set
Fam178b	1	36562694	36683183	-	3.5781217	1.9222353	-1.1895034	DifEc
Pgap1	1	54473000	54557684	-	6.2475796	4.919896	2.5513916	DifEc
Efhd1	1	87264363	87310839	+	2.1661441	-4.932633	-2.5334578	DifEc
Kif1a	1	93015456	93101865	-	5.354476	2.4049888	1.6103374	DifEc
Bok	1	93685694	93695762	+	5.8626456	4.933873	4.45015	DifEc
Slc45a3	1	131962967	131982963	+	3.7362103	-1.1252782	1.4872017	DifEc
Nmnat2	1	152955101	153119260	+	5.257394	3.0432148	2.6346164	DifEc
Gm11062	1	173274461	173277756	-	-7.1759305	-7.084636	-8.7078285	DifEc
6330403A02Rik	1	180432387	180483504	-	3.209932	-1.04999	0.50216603	DifEc
Batf3	1	191098414	191108943	+	0.93781173	-1.8451704	-2.5334578	DifEc
Zbtb34	2	33406108	33431324	-	4.1312704	3.252242	2.5122807	DifEc
Kcnj3	2	55435970	55598145	+	3.9852016	-0.9553532	0.64874554	DifEc
Pdk1	2	71873224	71903858	+	6.0447497	4.7116737	4.2023973	DifEc
Scg5	2	113776362	113829121	-	1.291675	-2.1777456	-7.5558257	DifEc
Pak6	2	118663303	118698020	+	1.7067126	-2.932633	-3.4265428	DifEc
Chac1	2	119351229	119354381	+	2.001489	-0.26020774	0.67539555	DifEc
Frmd5	2	121545529	121807087	-	2.5905983	2.0952728	-0.6610078	DifEc
Pcsk2	2	143546156	143816285	+	4.5327225	1.1062859	0.90155524	DifEc
Zfp345	2	150470991	150485091	-	2.5621617	1.4978194	0.8767163	DifEc
Snph	2	151590549	151632593	-	3.5192978	-0.04999007	-0.3415065	DifEc
5430405G05Rik	2	151702008	151712157	+	1.4715279000000001	-1.4732015	-1.8976141	DifEc
Dnmt3b	2	153649450	153687730	+	11.4142475	8.899762	8.564949	DifEc
R3hdml	2	163492318	163502612	+	0.25033426	-2.1252782	-3.7484708	DifEc
Wfdc2	2	164562413	164568510	+	7.2699895	5.5453777	4.0803456	DifEc
Hrh3	2	180099465	180104488	-	1.7577602	-4.3476706	-3.5558255	DifEc
Stmn3	2	181306459	181314500	-	2.9927416	0.518578	0.9775041	DifEc
Fabp5	3	10012548	10016607	+	8.687796	6.956015	7.4416623	DifEc
Sox2	3	34650005	34652461	+	4.5485835	0.99217945	-0.38590062	DifEc
Sfrp2	3	83766321	83774316	+	5.718698	2.4639716	3.4325040000000002	DifEc
Trim2	3	84160439	84305446	-	6.0863113	4.372288	3.8437195	DifEc
Dclk2	3	86786150	86920884	-	2.6346412	0.0673669	-0.33182395	DifEc
Crabp2	3	87948666	87953376	+	6.983626	4.892326	5.6312943	DifEc
Sema4a	3	88435959	88461182	-	2.9902327	0.99217945	0.116599694	DifEc
Syt11	3	88744700	88775164	-	6.9537554	3.3152945	3.3704703	DifEc
Trim46	3	89234177	89246309	-	3.3535001	2.3364937	1.1618507	DifEc
Hmgcs2	3	98280435	98310738	+	-0.026183276	-2.2321935	-4.5558257	DifEc
Phgdh	3	98313170	98339990	-	8.639803	7.817865	7.680805	DifEc
Gstm2	3	107981702	107986453	-	2.3573992	2.3504553	1.8767163	DifEc
Slc44a3	3	121459529	121532344	-	0.37096405	0.50199515	-1.84158	DifEc
Ugt8a	3	125865359	125938550	-	3.841574	1.1548297	0.3298708	DifEc
Bmpr1b	3	141837136	142169425	-	3.3338444	-0.16444878	-0.02444421	DifEc
Cntfr	4	41657498	41697089	-	2.6648474	0.55922	1.01403	DifEc
Tdrd7	4	45965334	46034761	+	2.7384548	1.2221849	-0.41116735	DifEc
Zfp462	4	54945048	55083563	+	6.309899	4.5425935	4.292015	DifEc
Frmd3	4	74013442	74202214	+	0.6249694	-0.88823897	-1.5900414	DifEc
D4Bwg0951e	4	80910646	80955628	+	2.8352966	1.9191159	0.18900816	DifEc
Sh3gl2	4	85205126	85639195	+	3.343706	1.0503604	-0.20267886	DifEc
Lrrc19	4	94636653	94650144	-	0.07199714	0.8088339	-1.98597	DifEc
L1td1	4	98726734	98738480	+	7.0395265	4.4331427	4.213599	DifEc
Pde4b	4	102087543	102607259	+	3.6362472	1.4072169	1.5579165	DifEc
Pcsk9	4	106442329	106464329	-	3.787688	2.4205136	1.9249644	DifEc
Pou3f1	4	124657646	124660655	+	4.2664948	0.45107123	0.6705865	DifEc
Tmem54	4	129105548	129111626	+	3.66642	1.7747262	0.9380298	DifEc
Fabp3	4	130308595	130315463	+	4.226016	1.5987483	1.5811653	DifEc
Fbxo44	4	148152800	148160482	-	5.316924	2.7850432	3.1135023	DifEc
Rbp7	4	149449687	149454978	-	0.28350115	-4.610705	-1.7744659	DifEc
Acot7	4	152178134	152271855	+	5.9402514	3.818074	3.3191557	DifEc
Hes3	4	152285972	152291662	-	2.678938	-7.084636	-2.129561	DifEc
Trp73	4	154056253	154140208	-	3.1882043	-0.9553532	-0.82111603	DifEc
Hes5	4	154960923	154962371	+	1.5175565	-7.084636	-1.9411157000000001	DifEc
Pion	5	21186267	21291701	+	2.0814574	0.26703924	-2.5114315	DifEc
Actr3b	5	25759997	25850342	+	4.399609	2.5850363	2.6302886	DifEc
Fam59b	5	30105161	30118378	+	2.157225	-4.932633	-2.6731825	DifEc
Crmp1	5	37242080	37292132	+	6.8684635	3.9674792	5.6004157	DifEc
Otop1	5	38275972	38304209	+	2.111782	-3.4732013	-3.0639725	DifEc
Ldb2	5	44472133	44799707	-	5.699051	3.9144242	3.2226622	DifEc
Uchl1	5	66676098	66687231	+	5.7245593	4.5697017	2.552045	DifEc
Gabra4	5	71569734	71658308	-	4.4080925	1.1007898	1.902581	DifEc
Rassf6	5	90603076	90640487	-	1.1369524	0.6296093	-3.5114317	DifEc
G3bp2	5	92052146	92083735	-	9.359558	8.583005	8.775878	DifEc
Spp1	5	104435118	104441050	+	1.7577602	-3.2321935	-2.001237	DifEc
Lhx5	5	120431770	120441455	+	3.299803	-1.4090711	-0.10874241	DifEc
Dtx1	5	120680202	120711927	-	4.916166	1.0897348	0.017821586	DifEc
Glt1d1	5	127632262	127708754	+	3.9221015	1.5267985	1.2288091	DifEc
Gsx1	5	147188696	147190947	+	0.98394084	-2.762708	-8.555826	DifEc
Dlx6	6	6863334	6868568	+	2.4643145	-3.610705	-1.8279052	DifEc
Dlx5	6	6877805	6882085	-	2.754807	-1.2602078	-1.5445983	DifEc
Ica1	6	8630527	8778488	-	2.7941754	2.3481378999999998	0.047800727	DifEc
Ptn	6	36715663	36811361	-	4.323417	0.71841866	1.811589	DifEc
Rab19	6	39381175	39390380	+	1.7158533	-3.610705	-1.4897364	DifEc
Mkrn1	6	39397804	39420462	-	7.4539385	6.3429093	5.850512	DifEc
Zfp467	6	48427697	48445825	-	3.5305655	1.4809949	1.1635633	DifEc
Stk31	6	49395604	49469501	+	-0.23341589	0.8020765	-0.45253786	DifEc
Snca	6	60731573	60829855	-	2.2313373	-1.8033502	-1.0322636	DifEc
Foxi3	6	70956531	70961066	+	4.6160464	-1.4732015	-0.9783967	DifEc
Srgap3	6	112717971	112947266	-	3.89888	1.8322384	1.5116086	DifEc
Prrt3	6	113494095	113501818	-	3.3495905	-0.47320145	0.044087227	DifEc
Cxcl12	6	117168535	117181367	+	7.11747	1.9222353	1.5116086	DifEc
Lrtm2	6	119315133	119330766	-	1.8184229	-2.0746522	-2.0800922	DifEc
